NOMBRE,APELLIDO,POBLACIÓN,FECHA-NACIMIENTO,EDAD,VALORES,SALARIO
ALEX,ESPINOSA,Álava,,,,
ARTURO,IZQUIERDO,Euskadi,,,,
BORJA,LARA,Gipuzkoa,,,,
VALENTIN,RIVAS,Bizkaia,,,,
JOSE JAVIER,SILVA,Álava,,,,
JESUS MARIA,RIVERA,Euskadi,,,,
JUAN MIGUEL,CASADO,Gipuzkoa,,,,
JAUME,ARROYO,Bizkaia,,,,
ANTONIO JESUS,REDONDO,Álava,,,,
GERMAN,CAMACHO,Euskadi,,,,
LUCAS,REY,Gipuzkoa,,,,
FRANCISCO MANUEL,VERA,Bizkaia,,,,
JONATHAN,OTERO,Álava,,,,
PEDRO JOSE,LUQUE,Euskadi,,,,
JOSE VICENTE,GALAN,Gipuzkoa,,,,
ADOLFO,MONTES,Bizkaia,,,,
ISAAC,RIOS,Álava,,,,
PAU,SIERRA,Euskadi,,,,
BENITO,SEGURA,Gipuzkoa,,,,
MOHAMMED,CARRILLO,Bizkaia,,,,
MOISES,MARCOS,Álava,,,,
ISIDRO,MARTI,Euskadi,,,,
JUAN RAMON,SORIANO,Gipuzkoa,,,,
ABEL,MENDOZA,Bizkaia,,,,
JUAN PEDRO,ROBLES,Álava,,,,
AHMED,BERNAL,Euskadi,,,,
BERNARDO,VILA,Gipuzkoa,,,,
ERNESTO,VALERO,Bizkaia,,,,
CHRISTIAN,PALACIOS,Álava,,,,
GERARDO,EXPOSITO,Euskadi,,,,
AARON,BENITO,Gipuzkoa,,,,
MANUEL JESUS,ANDRES,Bizkaia,,,,
SERGI,VARELA,Álava,,,,
MIKEL,PEREIRA,Euskadi,,,,
CARMELO,MACIAS,Gipuzkoa,,,,
PASCUAL,GUERRA,Bizkaia,,,,
IÑIGO,HEREDIA,Álava,,,,
FEDERICO,BUENO,Euskadi,,,,
ASIER,ROLDAN,Gipuzkoa,,,,
ANTONIO MANUEL,MATEO,Bizkaia,,,,
MIQUEL,VILLAR,Álava,,,,
JOEL,CONTRERAS,Euskadi,,,,
MARCELINO,MIRANDA,Gipuzkoa,,,,
FRANCESC,GUILLEN,Bizkaia,,,,
BARTOLOME,MATEOS,Álava,,,,
ISRAEL,ESCUDERO,Euskadi,,,,
ERIC,AGUILERA,Gipuzkoa,,,,
MATEO,MENENDEZ,Bizkaia,,,,
JON,CASAS,Álava,,,,
ELOY,APARICIO,Euskadi,,,,
JESUS MANUEL,RIVERO,Gipuzkoa,,,,
JOSE ALBERTO,ESTEVEZ,Bizkaia,,,,
FERMIN,BELTRAN,Álava,,,,
LUIS ALBERTO,PADILLA,Euskadi,,,,
GERARD,GRACIA,Gipuzkoa,,,,
AURELIO,RICO,Bizkaia,,,,
JUAN JESUS,CALDERON,Álava,,,,
OMAR,ABAD,Euskadi,,,,
UNAI,GALVEZ,Gipuzkoa,,,,
JONATAN,CONDE,Bizkaia,,,,
BENJAMIN,SALAS,Álava,,,,
ORIOL,JURADO,Euskadi,,,,
PERE,QUINTANA,Gipuzkoa,,,,
LLUIS,PLAZA,Bizkaia,,,,
JOSEP MARIA,ACOSTA,Álava,,,,
EUSEBIO,ARANDA,Euskadi,,,,
IÑAKI,BLAZQUEZ,Gipuzkoa,,,,
ANTONI,ROCA,Bizkaia,,,,
JACINTO,BERMUDEZ,Álava,,,,
POL,COSTA,Euskadi,,,,
PEDRO ANTONIO,MIGUEL,Gipuzkoa,,,,
DARIO,SANTAMARIA,Bizkaia,,,,
VICTORIANO,SALAZAR,Álava,,,,
CARLES,GUZMAN,Euskadi,,,,
ELIAS,SERRA,Gipuzkoa,,,,
CARLOS ALBERTO,VILLANUEVA,Bizkaia,,,,
ARNAU,CUESTA,Álava,,,,
JOSE ENRIQUE,MANZANO,Euskadi,,,,
MARCO ANTONIO,TOMAS,Gipuzkoa,,,,
JERONIMO,HURTADO,Bizkaia,,,,
ANGEL LUIS,TRUJILLO,Álava,,,,
JUAN PABLO,RUEDA,Euskadi,,,,
MATIAS,PACHECO,Gipuzkoa,,,,
ROGER,AVILA,Bizkaia,,,,
JUAN IGNACIO,SIMON,Álava,,,,
KEVIN,DE LA FUENTE,Euskadi,,,,
ISIDORO,PONS,Gipuzkoa,,,,
TEODORO,LAZARO,Bizkaia,,,,
DIONISIO,SANCHO,Álava,,,,
ADRIA,MESA,Euskadi,,,,
BRUNO,DEL RIO,Gipuzkoa,,,,
CANDIDO,ESCOBAR,Bizkaia,,,,
FLORENCIO,MILLAN,Álava,,,,
FRANCISCO JESUS,BLASCO,Euskadi,,,,
BLAS,ALARCON,Gipuzkoa,,,,
JUSTO,LUNA,Bizkaia,,,,
ROMAN,CASTAÑO,Álava,,,,
GUSTAVO,ZAMORA,Euskadi,,,,
JOSE JUAN,SALVADOR,Gipuzkoa,,,,
SANTOS,BERMEJO,Bizkaia,,,,
JUAN BAUTISTA,PAREDES,Álava,,,,
MANUEL ANGEL,ANTON,Euskadi,,,,
LUIS FERNANDO,BALLESTEROS,Gipuzkoa,,,,
ARMANDO,VALVERDE,Bizkaia,,,,
SAID,MALDONADO,Álava,,,,
ALEXANDER,BAUTISTA,Euskadi,,,,
DAMIAN,VALLE,Gipuzkoa,,,,
GINES,PONCE,Bizkaia,,,,
ALONSO,RODRIGO,Álava,,,,
LUIS MANUEL,LORENTE,Euskadi,,,,
EMILIANO,OLIVA,Gipuzkoa,,,,
IZAN,JUAN,Bizkaia,,,,
GUILLEM,CORDERO,Álava,,,,
CARLOS JAVIER,MAS,Euskadi,,,,
ENRIC,COLLADO,Gipuzkoa,,,,
FAUSTINO,MURILLO,Bizkaia,,,,
PEDRO LUIS,POZO,Álava,,,,
SERAFIN,DE LA CRUZ,Euskadi,,,,
ION,CUENCA,Gipuzkoa,,,,
XABIER,MONTOYA,Bizkaia,,,,
GORKA,MARTOS,Álava,,,,
ANDER,CUEVAS,Euskadi,,,,
FERRAN,MARCO,Gipuzkoa,,,,
RACHID,BARROSO,Bizkaia,,,,
JUAN MARIA,ROS,Álava,,,,
GHEORGHE,QUESADA,Euskadi,,,,
MARCO,DE LA TORRE,Gipuzkoa,,,,
JOSE JOAQUIN,BARRERA,Bizkaia,,,,
VASILE,ORDOÑEZ,Álava,,,,
IOAN,GIMENO,Euskadi,,,,
LEONARDO,CORRAL,Gipuzkoa,,,,
ABRAHAM,ALBA,Bizkaia,,,,
FIDEL,PUIG,Álava,,,,
JOSE DAVID,CABELLO,Euskadi,,,,
EDUARD,PULIDO,Gipuzkoa,,,,
MAXIMO,ROJO,Bizkaia,,,,
RAMIRO,NAVAS,Álava,,,,
SAUL,SAIZ,Euskadi,,,,
AMADOR,SORIA,Gipuzkoa,,,,
ROGELIO,ARENAS,Bizkaia,,,,
MARTI,AGUADO,Álava,,,,
CLAUDIO,DOMINGO,Euskadi,,,,
LUCIANO,GALINDO,Gipuzkoa,,,,
JULIO CESAR,VALLEJO,Bizkaia,,,,
LUIS MARIA,MENA,Álava,,,,
LUIS ANTONIO,ESCRIBANO,Euskadi,,,,
JOSE ANDRES,ASENSIO,Gipuzkoa,,,,
FRANCISCO ANTONIO,RAMON,Bizkaia,,,,
FLORENTINO,VALENCIA,Álava,,,,
JESUS ANGEL,LUCAS,Euskadi,,,,
EMILIO JOSE,CARO,Gipuzkoa,,,,
MODESTO,POLO,Bizkaia,,,,
YOUSSEF,AGUIRRE,Álava,,,,
MUSTAPHA,NARANJO,Euskadi,,,,
LUIS ANGEL,MATA,Gipuzkoa,,,,
SIMON,VILLALBA,Bizkaia,,,,
MANUEL ANTONIO,REINA,Álava,,,,
JOAQUIM,PAZ,Euskadi,,,,
PAULINO,AMADOR,Gipuzkoa,,,,
ILDEFONSO,MORAN,Bizkaia,,,,
ALI,LINARES,Álava,,,,
AVELINO,OJEDA,Euskadi,,,,
EDGAR,LEAL,Gipuzkoa,,,,
ALEIX,BURGOS,Bizkaia,,,,
SATURNINO,CHEN,Álava,,,,
CELESTINO,OLIVER,Euskadi,,,,
CONSTANTINO,CARRETERO,Gipuzkoa,,,,
YERAY,BONILLA,Bizkaia,,,,
ELADIO,SOSA,Álava,,,,
PEDRO MANUEL,ROIG,Euskadi,,,,
ALEXANDRE,ARAGON,Gipuzkoa,,,,
ADAM,CARRION,Bizkaia,,,,
JUAN DIOS,CLEMENTE,Álava,,,,
JAIRO,VILLA,Euskadi,,,,
FRANCISCO MIGUEL,CASTELLANO,Gipuzkoa,,,,
JOSE FERNANDO,CARRERA,Bizkaia,,,,
IGOR,HERNANDO,Álava,,,,
JULEN,CORDOBA,,,,,
RUFINO,ROSA,,,,,
CONSTANTIN,ANDREU,,,,,
LEANDRO,CACERES,,,,,
JUAN VICENTE,CALERO,,,,,
EZEQUIEL,CORREA,,,,,
JACOBO,MOHAMED,,,,,
ENEKO,COBO,,,,,
MANUEL JOSE,CARDENAS,,,,,
HASSAN,FERREIRA,,,,,
CARLOS MANUEL,ALCARAZ,,,,,
ROBERT,JUAREZ,,,,,
ANTONIO LUIS,VELAZQUEZ,,,,,
ANDREU,DOMENECH,,,,,
PEDRO MARIA,SOLA,,,,,
ALEXIS,CHACON,,,,,
ANTONIO MIGUEL,RIERA,,,,,
JUAN ANDRES,SAAVEDRA,,,,,
ANTONIO JAVIER,TOLEDO,,,,,
JOSE DANIEL,LLORENTE,,,,,
ERIK,ZAPATA,,,,,
OLIVER,MORAL,,,,,
CLEMENTE,VELA,,,,,
JUAN DIEGO,SALGADO,,,,,
LUIS JAVIER,CARBONELL,,,,,
FELICIANO,VILLEGAS,,,,,
GASPAR,ARRIBAS,,,,,
JORGE LUIS,PRADO,,,,,
LUIS CARLOS,ALFONSO,,,,,
BASILIO,REQUENA,,,,,
HILARIO,AYALA,,,,,
JAN,PELAEZ,,,,,
PEDRO JESUS,SEVILLA,,,,,
CAYETANO,FONT,,,,,
RAIMUNDO,BARRIOS,,,,,
MARIAN,LUIS,,,,,
NICOLAE,CARBALLO,,,,,
JUAN ANGEL,PIÑEIRO,,,,,
EVARISTO,OLIVARES,,,,,
ANGEL MANUEL,ESTEVE,,,,,
JOSUE,MARQUES,,,,,
NESTOR,DA SILVA,,,,,
FABIAN,SOLIS,,,,,
MARCIAL,PINTO,,,,,
BENIGNO,CAMARA,,,,,
FLORIN,GRAU,,,,,
KHALID,QUINTERO,,,,,
ELISEO,SALINAS,,,,,
LAUREANO,BOSCH,,,,,
MARCELO,PEREA,,,,,
FRANCESC XAVIER,PINEDA,,,,,
MANEL,CID,,,,,
SEGUNDO,MARRERO,,,,,
NARCISO,BALLESTER,,,,,
IMANOL,CANTERO,,,,,
RICARD,CASTILLA,,,,,
CECILIO,SANCHIS,,,,,
ABDELKADER,DE LA ROSA,,,,,
BERNARDINO,PALOMO,,,,,
MUHAMMAD,AREVALO,,,,,
ABDELLAH,CASANOVA,,,,,
PATRICIO,MIRALLES,,,,,
JUAN ALBERTO,SALA,,,,,
VALERIANO,RINCON,,,,,
DEMETRIO,NICOLAS,,,,,
ANDONI,LAGO,,,,,
ANGEL MARIA,BAENA,,,,,
JESUS ANTONIO,HERRANZ,,,,,
LEOPOLDO,PORRAS,,,,,
MICHAEL,BELMONTE,,,,,
CESAREO,CARDONA,,,,,
JOSEBA,PALMA,,,,,
FERNANDO JOSE,RECIO,,,,,
JOSU,ARRANZ,,,,,
LUIS ENRIQUE,MUÑIZ,,,,,
ROBERTO CARLOS,PINO,,,,,
ANASTASIO,BARBA,,,,,
CAMILO,VENTURA,,,,,
CIPRIANO,BARREIRO,,,,,
MAURICIO,COLL,,,,,
LUCIO,CABEZAS,,,,,
PEDRO PABLO,COBOS,,,,,
HICHAM,CUADRADO,,,,,
MARCEL,ANGULO,,,,,
ARITZ,CERVERA,,,,,
ABDELAZIZ,VELEZ,,,,,
ANTONIO FRANCISCO,MADRID,,,,,
FRANCISCO LUIS,PUENTE,,,,,
MIHAI,VAQUERO,,,,,
BRAHIM,OCHOA,,,,,
BIENVENIDO,NAVARRETE,,,,,
RODOLFO,BECERRA,,,,,
ANSELMO,PUJOL,,,,,
TEOFILO,OCAÑA,,,,,
OCTAVIO,TAPIA,,,,,
IAGO,SINGH,,,,,
EULOGIO,GRANADOS,,,,,
STEFAN,BELLO,,,,,
BALTASAR,VALLS,,,,,
YAGO,ALFARO,,,,,
CASIMIRO,VERGARA,,,,,
AMADEO,LATORRE,,,,,
MAURO,PERALTA,,,,,
BERNABE,LOSADA,,,,,
IBAI,GAMEZ,,,,,
PLACIDO,MEJIAS,,,,,
ALEXANDRU,CAMPO,,,,,
PEDRO MIGUEL,ROVIRA,,,,,
PEDRO JAVIER,SASTRE,,,,,
BERNAT,CORRALES,,,,,
LAZARO,EGEA,,,,,
BRIAN,CASTELLANOS,,,,,
CELSO,FALCON,,,,,
FULGENCIO,BARRAGAN,,,,,
IAN,ALCANTARA,,,,,
BRAIS,ESTRADA,,,,,
NIL,CATALAN,,,,,
MARIUS,FRAILE,,,,,
BALDOMERO,CEBRIAN,,,,,
HERMINIO,GODOY,,,,,
JOSE FELIX,CEREZO,,,,,
MAXIMINO,SEGOVIA,,,,,
JOSE PEDRO,HUERTAS,,,,,
CARLOS JOSE,FERREIRO,,,,,
ROQUE,BORREGO,,,,,
HAMID,SOLE,,,,,
ABDERRAHIM,RUANO,,,,,
DUMITRU,AZNAR,,,,,
PAUL,BARBERO,,,,,
JOSE GABRIEL,MORCILLO,,,,,
BIEL,DUARTE,,,,,
JESUS MIGUEL,VALENZUELA,,,,,
AQUILINO,GUIJARRO,,,,,
BONIFACIO,ARJONA,,,,,
MANUEL FRANCISCO,DEL VALLE,,,,,
FRANCISCO BORJA,TORO,,,,,
GUMERSINDO,PAVON,,,,,
LUIS FRANCISCO,CARVAJAL,,,,,
ABDESLAM,FAJARDO,,,,,
MANUEL ALEJANDRO,PEINADO,,,,,
FABIO,ARIZA,,,,,
ANTON,CANOVAS,,,,,
BILAL,JORGE,,,,,
JOSE RAFAEL,SAINZ,,,,,
VICTORINO,ALCAIDE,,,,,
OIER,ROMERA,,,,,
ALAN,MELERO,,,,,
IONEL,AGUDO,,,,,
HIPOLITO,MORILLO,,,,,
JOSE DOMINGO,ROYO,,,,,
HAMZA,BARRIO,,,,,
ELEUTERIO,GORDILLO,,,,,
MARINO,LLAMAS,,,,,
VIDAL,TEJERO,,,,,
JUAN ENRIQUE,REAL,,,,,
DIDAC,GONZALO,,,,,
IGNASI,ROSALES,,,,,
NORBERTO,GALVAN,,,,,
FRANCISCO ASIS,PORTILLO,,,,,
AIMAR,ESPEJO,,,,,
MELCHOR,LOBATO,,,,,
DRISS,VALDES,,,,,
ARSENIO,TIRADO,,,,,
ROSENDO,DUQUE,,,,,
KARIM,CRIADO,,,,,
JESUS JAVIER,FREIRE,,,,,
ORLANDO,DAVILA,,,,,
JUAN DAVID,DOS SANTOS,,,,,
VIRGILIO,CHAMORRO,,,,,
HIGINIO,DORADO,,,,,
JORGE JUAN,GRANDE,,,,,
ADAN,FRIAS,,,,,
AYOUB,MOYANO,,,,,
LUIS ALFONSO,CALLEJA,,,,,
MARKEL,PIZARRO,,,,,
ALBERTO JOSE,ZAMBRANO,,,,,
SEVERINO,HUERTA,,,,,
VICENTE JOSE,MOSQUERA,,,,,
URBANO,PLA,,,,,
PABLO JOSE,FIGUEROA,,,,,
MAMADOU,SOLANO,,,,,
PETER,OLMEDO,,,,,
JAMAL,ROSADO,,,,,
VICTOR JOSE,DE MIGUEL,,,,,
CARLOS ENRIQUE,ALCAZAR,,,,,
JUAN FERNANDO,PENA,,,,,
AUGUSTO,TENA,,,,,
ANIBAL,ALCALDE,,,,,
JOSE PABLO,SAENZ,,,,,
JUAN GABRIEL,FERRERO,,,,,
CEFERINO,ALCALA,,,,,
NOEL,PANIAGUA,,,,,
VENANCIO,AVILES,,,,,
VIOREL,VIVES,,,,,
ANTONIO MARIA,LAFUENTE,,,,,
PELAYO,PAZOS,,,,,
ALAIN,DEL POZO,,,,,
INOCENCIO,LLORENS,,,,,
JOSE ALEJANDRO,HERAS,,,,,
BAUTISTA,NOGUERA,,,,,
JOSE TOMAS,BONET,,,,,
JOHN,REBOLLO,,,,,
AZIZ,GARZON,,,,,
JOSE JESUS,CHAVES,,,,,
ABELARDO,ARAUJO,,,,,
MAXIMILIANO,AMAYA,,,,,
MARCOS ANTONIO,BARTOLOME,,,,,
CARLOS ANTONIO,SALCEDO,,,,,
PRIMITIVO,SERNA,,,,,
GUSTAVO ADOLFO,BRITO,,,,,
JOSE ALFONSO,MATEU,,,,,
JOSE EMILIO,POVEDA,,,,,
VICENT,VALLES,,,,,
IBRAHIM,PAEZ,,,,,
DENIS,ARCE,,,,,
IBON,SALGUERO,,,,,
ISAIAS,OLMO,,,,,
JOSE EDUARDO,PIÑERO,,,,,
GENARO,ANDRADE,,,,,
LUIS EDUARDO,HERVAS,,,,,
MIGUEL ANTONIO,BARRANCO,,,,,
EDUARDO JOSE,ABELLAN,,,,,
SAMIR,HARO,,,,,
AGAPITO,CABEZA,,,,,
PEDRO ANGEL,QUIROS,,,,,
RICHARD,SOUTO,Nacimientos de madres menores de 35 años,,,,
NEMESIO,GINER,Nacimientos de madres menores de 35 años,,,,
YASSINE,VALIENTE,Nacimientos de madres menores de 35 años,,,,
JOSE BENITO,BORRAS,Nacimientos de madres menores de 35 años,,,,
JORGE MANUEL,LLOPIS,Nacimientos de madres menores de 35 años,,,,
PEDRO JUAN,LIN,Nacimientos de madres menores de 35 años,,,,
FRANCISCO RAMON,BILBAO,Nacimientos de madres menores de 35 años,,,,
LEONCIO,YAÑEZ,Nacimientos de madres menores de 35 años,,,,
PRUDENCIO,AFONSO,Nacimientos de madres menores de 35 años,,,,
BRAULIO,GARCES,Nacimientos de madres menores de 35 años,,,,
GAIZKA,BARCELO,Nacimientos de madres menores de 35 años,,,,
IBAN,FUERTES,Nacimientos de madres menores de 35 años,,,,
ELOI,MIRA,Nacimientos de madres menores de 35 años,,,,
SECUNDINO,PALOMINO,Nacimientos de madres menores de 35 años,,,,
ANGEL JOSE,MELLADO,Nacimientos de madres menores de 35 años,,,,
MOUSSA,ALVARADO,Nacimientos de madres menores de 35 años,,,,
JOSE JULIAN,RIBAS,Nacimientos de madres menores de 35 años,,,,
CONRADO,LAGUNA,Nacimientos de madres menores de 35 años,,,,
ANTONIO DAVID,CALLE,Nacimientos de madres menores de 35 años,,,,
MANUEL MARIA,PALOMARES,Nacimientos de madres menores de 35 años,,,,
